# temperature = 270 K
# h0 = 2 km
# humidity = 20
# pressure = 560 mbar
# atmType = 1
# altitude = 5000 m
             0.500000000 1.000000000 2.000000000 3.000000000 4.000000000 5.000000000
10.000000000 0.996635236 0.996586855 0.996490099 0.996393352 0.996296615 0.996199887
10.100000000 0.996618799 0.996569250 0.996470160 0.996371080 0.996272010 0.996172950
10.200000000 0.996580407 0.996529669 0.996428200 0.996326742 0.996225295 0.996123857
10.300000000 0.996589377 0.996537423 0.996433523 0.996329634 0.996225756 0.996121889
10.400000000 0.996590862 0.996537668 0.996431288 0.996324919 0.996218562 0.996112216
10.500000000 0.996583821 0.996529362 0.996420451 0.996311553 0.996202667 0.996093793
10.600000000 0.996573065 0.996517314 0.996405822 0.996294342 0.996182875 0.996071420
10.700000000 0.996563466 0.996506397 0.996392269 0.996278154 0.996164052 0.996049963
10.800000000 0.996551416 0.996493001 0.996376182 0.996259376 0.996142584 0.996025805
10.900000000 0.996536197 0.996476408 0.996356840 0.996237287 0.996117748 0.995998223
11.000000000 0.996510887 0.996449695 0.996327321 0.996204963 0.996082619 0.995960291
11.100000000 0.996478332 0.996415707 0.996290468 0.996165244 0.996040036 0.995914844
11.200000000 0.996498190 0.996434096 0.996305922 0.996177764 0.996049623 0.995921498
11.300000000 0.996494218 0.996428625 0.996297454 0.996166300 0.996035162 0.995904043
11.400000000 0.996485719 0.996418594 0.996284359 0.996150141 0.996015942 0.995881761
11.500000000 0.996475545 0.996406854 0.996269485 0.996132136 0.995994805 0.995857493
11.600000000 0.996464539 0.996394244 0.996253671 0.996113117 0.995972583 0.995832069
11.700000000 0.996453022 0.996381087 0.996237234 0.996093402 0.995949591 0.995805800
11.800000000 0.996441115 0.996367502 0.996220293 0.996073105 0.995925939 0.995778794
11.900000000 0.996429024 0.996353692 0.996203046 0.996052422 0.995901821 0.995751243
12.000000000 0.996416653 0.996339532 0.996185309 0.996031109 0.995876933 0.995722781
12.100000000 0.996404082 0.996325157 0.996167325 0.996009519 0.995851738 0.995693982
12.200000000 0.996391305 0.996310531 0.996149003 0.995987500 0.995826024 0.995664575
12.300000000 0.996378332 0.996295663 0.996130344 0.995965053 0.995799790 0.995634554
12.400000000 0.996365178 0.996280565 0.996111359 0.995942183 0.995773036 0.995603917
12.500000000 0.996351838 0.996265231 0.996092039 0.995918877 0.995745746 0.995572644
12.600000000 0.996338312 0.996249659 0.996072376 0.995895126 0.995717907 0.995540719
12.700000000 0.996324600 0.996233848 0.996052367 0.995870920 0.995689507 0.995508126
12.800000000 0.996310702 0.996217795 0.996032006 0.995846252 0.995660533 0.995474848
